ID,First_name,Last_name,State,Gender,Age,GPA,Days_missed,Graduated
523,Larry,Fernandez,Colorado,Male,,4,,Yes
524,Andrew,Ross,Tennessee,Male,,,21,Yes
525,Patrick,Harvey,Minnesota,Male,15,,27,Yes
526,Kelly,Franklin,,,16,4,34,Yes
527,Terry,Armstrong,Missouri,Male,18,2,12,No
528,Louis,Martin,District of Columbia,,18,,16,Yes
529,Beverly,Medina,District of Columbia,Female,16,4,28,Yes
530,Carl,Rodriguez,Arizona,,15,2,20,No
531,Stephen,Stanley,New York,Male,15,,10,Yes
532,Ernest,Nguyen,Texas,Male,15,4,10,Yes
533,Emily,Hamilton,Ohio,,16,4,25,Yes
534,Henry,Daniels,Massachusetts,,18,4,16,Yes
535,Teresa,Grant,Virginia,,16,3,16,No
536,Alice,Martinez,Missouri,Female,19,2,27,No
537,Alan,Campbell,,Male,17,2,3,Yes
538,Henry,Murphy,California,,15,2,26,No
539,Sean,Dean,New Jersey,Male,,4,6,Yes
540,Janice,Gilbert,Texas,Female,15,2,,Yes
541,Alice,Snyder,Arkansas,Female,15,3,2,Yes
542,Debra,Meyer,Alabama,Female,,2,,Yes
543,Cynthia,Stewart,Missouri,Female,15,2,7,No
544,Phillip,Olson,Tennessee,Male,,3,19,No
545,Thomas,Mcdonald,Texas,,17,4,8,Yes
546,David,Hart,Indiana,,17,3,,Yes
547,Walter,Lawson,District of Columbia,Male,17,2,28,No
548,Pamela,Stewart,Texas,Female,19,2,8,No
549,Linda,Montgomery,Georgia,Female,15,2,27,No
550,Jesse,Henry,Michigan,Male,17,,,Yes
551,James,Richards,New Mexico,Male,15,,14,Yes
552,Ryan,Johnston,Florida,Male,,4,22,Yes
553,Kathleen,Ford,Florida,,18,4,17,Yes
554,Samuel,Young,Delaware,Male,19,3,25,No
555,Albert,Perez,Virginia,Male,19,,6,Yes
556,Teresa,Gomez,California,Female,15,4,19,Yes
557,Johnny,Allen,,Male,15,,21,Yes
558,Louise,James,Kentucky,,16,,25,Yes
559,Victor,Robinson,Arizona,,19,2,33,No
560,Joshua,Hart,Tennessee,Male,18,4,21,Yes
561,Arthur,Ryan,California,Male,18,,22,Yes
562,Michelle,Kim,Indiana,Female,,3,15,No
563,Lawrence,Thompson,North Carolina,Male,16,,4,Yes
564,Roy,Stevens,Oklahoma,Male,15,2,,Yes
565,Keith,Warren,Ohio,Male,,3,15,No
566,Shawn,Torres,,,19,4,,Yes
567,Jesse,Ortiz,Tennessee,Male,,4,21,Yes
568,Raymond,Miller,Ohio,Male,,2,18,No
569,Daniel,Fields,Kentucky,Male,17,3,23,No
570,Helen,Day,Massachusetts,Female,15,2,17,No
571,Bonnie,Jackson,California,Female,19,,28,Yes
572,Betty,Anderson,Alabama,Female,17,,29,Yes
573,Dennis,Ortiz,Iowa,Male,16,,22,Yes
574,Larry,Graham,Virginia,Male,18,3,,Yes
575,Russell,Bell,Oklahoma,Male,18,3,11,No
576,Elizabeth,Hill,Oregon,Female,17,,7,Yes
577,Lori,Gordon,Texas,,,2,28,No
578,Michelle,Moore,,Female,16,,30,Yes
579,Beverly,Gordon,Texas,Female,17,3,15,No
580,Kathryn,Brooks,Tennessee,,18,2,9,No
581,Heather,Hawkins,District of Columbia,Female,16,,21,Yes
582,Anna,Pierce,Indiana,,17,,18,Yes
583,Lois,Adams,Kentucky,Female,19,3,24,No
584,Ronald,Collins,Florida,Male,19,3,26,No
585,Bruce,Perez,Texas,Male,15,2,,Yes
586,Robert,Patterson,Utah,,16,,34,Yes
587,Lisa,Medina,Florida,,15,2,4,No
588,Judith,Reed,Florida,Female,,4,4,Yes
589,Carol,Hernandez,Minnesota,Female,19,,27,Yes
590,Timothy,Davis,Hawaii,Male,19,2,32,No
591,Mark,Nguyen,Arkansas,Male,,2,,Yes
592,Arthur,Miller,Louisiana,Male,,,26,Yes
593,Bruce,Foster,,Male,19,4,13,Yes
594,Walter,Garcia,California,Male,15,2,28,No
595,Cheryl,Rice,Pennsylvania,Female,16,2,4,No
596,Earl,Bennett,Texas,Male,,,,Yes
597,Carlos,Gray,Virginia,Male,,4,,Yes
598,Janet,Franklin,Florida,,,3,,Yes
599,Doris,Murray,,Female,17,4,3,Yes
600,Amy,Powell,,Female,15,2,31,No
601,Pamela,Boyd,Pennsylvania,Female,15,4,10,Yes
602,Sarah,Butler,Ohio,Female,,3,27,No
603,Peter,Martin,Washington,Male,19,3,30,No
604,Jean,Washington,,Female,15,2,19,No
605,James,Lane,Arizona,,15,,30,Yes
606,Theresa,Simpson,District of Columbia,,18,2,,Yes
607,Elizabeth,Miller,Colorado,Female,16,3,,Yes
608,Carlos,Freeman,California,,19,3,22,No
609,Rachel,Barnes,Alabama,Female,19,,26,Yes
610,Thomas,Ross,Florida,Male,,2,26,No
611,Dorothy,Boyd,Washington,Female,15,2,6,No
612,Karen,Torres,Florida,,17,4,27,Yes
613,Nancy,Duncan,California,Female,19,3,13,No
614,Jeremy,Rose,California,Male,17,2,,Yes
615,Johnny,Berry,Texas,Male,15,2,,Yes
616,Shawn,George,District of Columbia,Male,15,,6,Yes
617,Bobby,Hill,Florida,Male,,4,27,Yes
618,Debra,Robinson,Oregon,Female,17,4,30,Yes
619,Fred,Sanchez,Michigan,Male,,3,3,Yes
620,Johnny,Wood,,Male,18,4,,Yes
621,Richard,Murray,Indiana,Male,17,4,7,Yes
622,Antonio,Crawford,West Virginia,,19,,30,Yes
623,Catherine,Ross,Maine,Female,18,2,30,No
624,Larry,Wagner,New Jersey,Male,15,4,3,Yes
625,Adam,Fernandez,,Male,16,3,29,No
626,Anne,Kelley,Ohio,Female,16,2,33,No
627,Nicholas,Washington,Indiana,Male,18,4,22,Yes
628,Christina,Roberts,California,Female,17,2,4,No
629,Diana,Ryan,Texas,Female,15,2,14,No
630,Antonio,King,Michigan,Male,17,,,Yes
631,Linda,Matthews,Wisconsin,Female,,4,2,Yes
632,Rachel,Collins,Texas,,19,4,,Yes
633,Bruce,Bell,Texas,Male,18,4,5,Yes
634,Amanda,Fisher,Indiana,Female,,,28,Yes
635,Melissa,Cole,Texas,,18,3,25,No
636,Lois,Hayes,Wisconsin,Female,,4,28,Yes
637,Jennifer,Lopez,,Female,16,4,16,Yes
638,Robin,Grant,Alabama,,,2,3,Yes
639,Katherine,Bishop,Oregon,Female,19,,10,Yes
640,Kathleen,Ramos,California,Female,,2,13,No
641,Arthur,Sanchez,Georgia,,16,4,,Yes
642,Ann,Perkins,New Hampshire,,17,3,9,No
643,Brandon,King,Michigan,,,2,6,No
644,Nicole,Ortiz,Illinois,Female,18,2,,Yes
645,Sean,Nguyen,Texas,,19,,24,Yes
646,Gloria,Wheeler,Texas,Female,,2,5,No
647,Phillip,Reid,,,15,4,11,Yes
648,Billy,Morrison,Minnesota,Male,19,,,Yes
649,Betty,Mcdonald,Ohio,Female,17,2,33,No
650,Shirley,Ortiz,,Female,18,2,,Yes
651,Karen,Simmons,California,Female,18,,7,Yes
652,Antonio,Taylor,District of Columbia,Male,17,4,29,Yes
653,Janice,Clark,West Virginia,Female,,2,,Yes
654,Stephen,Simpson,New Jersey,,16,2,3,Yes
655,Kathleen,Brown,,Female,16,2,9,No
656,Phillip,Morales,Illinois,Male,18,2,6,No
657,Joe,Watson,,Male,,3,16,No
658,Melissa,Harrison,Texas,Female,,4,24,Yes
659,Carlos,Carpenter,California,Male,18,3,4,No
660,Theresa,Matthews,Hawaii,Female,,4,18,Yes
661,Sarah,Crawford,Virginia,,19,,34,Yes
662,Christina,Grant,Florida,Female,,,12,Yes
663,Carol,Powell,Illinois,Female,,4,31,Yes
664,Eugene,Lewis,Missouri,Male,16,3,19,No
665,Chris,Hunt,Pennsylvania,Male,,4,23,Yes
666,Mildred,Ross,West Virginia,,18,,24,Yes
667,Nicole,Hart,Texas,Female,,2,,Yes
668,John,Richards,Texas,,,4,25,Yes
669,Brandon,Lawson,Pennsylvania,Male,19,3,29,No
670,Stephanie,Henry,New York,,18,2,14,No
671,Janet,Ray,,Female,,3,19,No
672,Terry,Gray,Colorado,,,,34,Yes
673,Antonio,Perez,North Carolina,Male,17,2,14,No
674,Donna,Russell,Ohio,Female,,4,,Yes
675,Theresa,Kennedy,Indiana,,15,2,31,No
676,Jack,Morrison,Alabama,,,2,,Yes
677,Louis,Rodriguez,Pennsylvania,Male,16,3,,Yes
678,Gregory,Mccoy,Washington,Male,18,2,,Yes
679,Gloria,Snyder,Florida,Female,16,3,7,No
680,Phyllis,Wagner,,Female,18,3,12,No
681,Mildred,Fernandez,North Carolina,,15,2,21,No
682,Jean,Sullivan,Arizona,,19,2,9,No
683,Christina,Woods,New York,Female,15,2,13,No
684,Paula,Webb,Minnesota,Female,16,2,17,No
685,Annie,Kennedy,Nevada,,,4,24,Yes
686,Heather,Adams,Texas,Female,,,8,Yes
687,Katherine,Oliver,Virginia,Female,,4,10,Yes
688,Fred,Gonzalez,Idaho,,17,4,,Yes
689,Beverly,Kelley,Arkansas,,18,2,25,No
690,Evelyn,White,Massachusetts,Female,17,3,33,No
691,Arthur,Wood,Indiana,Male,17,3,26,No
692,Larry,Bennett,Ohio,Male,15,3,28,No
693,Sharon,Romero,North Carolina,,17,,25,Yes
694,Michelle,Foster,California,,17,3,27,No
695,Philip,Watkins,Arizona,Male,19,,21,Yes
696,Henry,King,District of Columbia,,,2,,Yes
697,Daniel,Peterson,Texas,Male,,3,22,No
698,Daniel,Bowman,Kentucky,,16,4,31,Yes
699,Martha,Alvarez,Colorado,Female,16,2,13,No
700,Kathryn,Medina,Texas,Female,19,2,,Yes
701,John,Patterson,,Male,15,2,4,No
702,Michael,Shaw,Florida,Male,18,,26,Yes
703,Janice,Matthews,Kentucky,,15,3,34,No
704,Chris,Little,Michigan,Male,16,,25,Yes
705,Martin,Holmes,Florida,Male,,4,16,Yes
706,Debra,Morris,Ohio,Female,,,19,Yes
707,Robin,Ryan,,Female,15,4,15,Yes
708,Jason,Richardson,Ohio,Male,16,3,19,No
709,Harry,Williamson,Pennsylvania,,19,4,13,Yes
710,Russell,Anderson,District of Columbia,Male,17,4,30,Yes
711,Johnny,Chapman,,Male,,2,12,No
712,Maria,Stevens,Colorado,Female,16,2,3,Yes
713,David,Riley,New York,,18,,,Yes
714,Bobby,Anderson,Pennsylvania,,,4,17,Yes
715,Stephen,Olson,Florida,Male,19,,10,Yes
716,Ann,Coleman,Washington,,17,2,,Yes
717,Diane,Vasquez,New York,Female,15,4,14,Yes
718,Gloria,Hughes,Ohio,Female,19,2,,Yes
719,Cynthia,Garza,Ohio,Female,18,3,24,No
720,Louise,Edwards,Indiana,Female,17,3,31,No
721,Kimberly,Montgomery,,,17,2,20,No
722,Brandon,Perry,California,,,3,15,No
723,Shirley,Ford,North Carolina,Female,17,2,34,No
724,Phillip,Alvarez,Illinois,Male,16,2,,Yes
725,Howard,Lawrence,New York,Male,19,4,33,Yes
726,Stephanie,Johnson,Pennsylvania,Female,18,,,Yes
727,Sara,Meyer,California,Female,18,2,9,No
728,Keith,Fernandez,District of Columbia,Male,19,3,8,No
729,Samuel,Allen,Illinois,Male,16,4,12,Yes
730,Carol,Burke,New York,Female,15,,29,Yes
731,Martha,Gordon,Illinois,Female,15,,22,Yes
732,Katherine,Fox,,Female,17,4,,Yes
733,Stephanie,Graham,Missouri,Female,17,,8,Yes
734,Roger,Snyder,Kansas,,18,4,21,Yes
735,Mark,Bishop,Ohio,Male,15,2,11,No
736,Pamela,Wilson,,Female,19,,20,Yes
737,Philip,Perkins,Florida,Male,,4,,Yes
738,Clarence,Stevens,Colorado,Male,,,14,Yes
739,Robert,Larson,Iowa,,18,,3,Yes
740,Bruce,Howard,,Male,,2,20,No
741,Karen,Turner,Missouri,Female,16,4,28,Yes
742,Thomas,Baker,Missouri,Male,15,2,20,No
743,Thomas,Hayes,California,Male,,4,5,Yes
744,Larry,Butler,Arizona,Male,16,3,28,No
745,Anne,Butler,California,,17,,33,Yes
746,Henry,Peters,,,19,2,14,No
747,Patrick,Brooks,California,Male,19,3,,Yes
748,Eugene,Brooks,California,Male,16,4,13,Yes
749,Melissa,King,Virginia,Female,18,,34,Yes
750,Margaret,Black,New York,,18,4,,Yes
751,Kimberly,Day,Florida,,19,2,6,No
752,Joyce,Matthews,New York,Female,,4,27,Yes
753,Julia,Hawkins,Texas,Female,17,4,7,Yes
754,Michelle,Gonzalez,Michigan,Female,17,4,18,Yes
755,Jessica,Elliott,Minnesota,,,4,28,Yes
756,Joyce,Murphy,,Female,,4,5,Yes
757,Joe,Howell,,,15,2,20,No
758,Steven,George,Oregon,,16,,11,Yes
759,George,Gomez,California,Male,19,4,2,Yes
760,Annie,Hamilton,South Carolina,Female,15,,13,Yes
761,Michael,James,Georgia,Male,,2,33,No
762,Jimmy,Holmes,,Male,17,3,26,No
763,Helen,Mcdonald,California,Female,18,2,15,No
764,Diane,Freeman,,Female,,2,,Yes
765,Lois,Peters,Pennsylvania,Female,19,4,31,Yes
766,Brenda,Martin,Texas,,16,,,Yes
767,Christina,Daniels,Virginia,Female,19,,,Yes
768,Betty,Rose,Hawaii,Female,17,3,6,No
769,Beverly,Burns,Virginia,Female,,4,8,Yes
770,Wayne,Brooks,,Male,,3,30,No
771,Ralph,Watkins,District of Columbia,Male,15,,17,Yes
772,Gerald,James,Tennessee,Male,17,2,,Yes
773,Nicole,Ramos,Texas,Female,16,,12,Yes
774,Mildred,Williamson,,,16,2,27,No
775,Jerry,Hart,Tennessee,,19,2,34,No
776,Russell,Scott,Wisconsin,Male,19,4,29,Yes
777,Louise,Lane,Pennsylvania,Female,17,4,34,Yes
778,Donna,Ramirez,Texas,,16,3,6,No
779,Frank,Miller,Texas,Male,,2,13,No
780,Kimberly,Gordon,Minnesota,,15,,,Yes
781,Lois,Hansen,New York,,17,2,12,No
782,Alan,Pierce,California,Male,18,3,20,No
783,Debra,Smith,New York,Female,17,2,5,No
784,Jennifer,Armstrong,California,Female,17,3,26,No
785,Douglas,Fernandez,Florida,Male,19,3,27,No
786,Judith,Alvarez,Michigan,,15,4,15,Yes
787,Roy,Owens,Virginia,Male,,4,19,Yes
788,Doris,Long,Illinois,Female,16,4,,Yes
789,Diana,Hill,Missouri,Female,19,,,Yes
790,Carolyn,Kelley,Texas,Female,17,2,19,No
791,Wayne,Rogers,Alaska,Male,,3,16,No
792,Lisa,Romero,,Female,17,3,2,Yes
793,Ryan,Walker,Massachusetts,Male,16,,,Yes
794,Rose,Ward,Texas,,19,4,27,Yes
795,Gary,Baker,Alabama,Male,19,3,31,No
796,Lillian,Fields,Tennessee,Female,19,4,8,Yes
797,Kelly,Lopez,Alaska,,,,3,Yes
798,Christopher,Butler,Minnesota,,17,2,31,No
799,Mildred,Gray,Virginia,Female,19,,,Yes
800,Carol,Ward,Indiana,,16,2,33,No
801,Justin,Clark,California,,,4,9,Yes
802,Angela,Crawford,Ohio,Female,,3,4,No
803,Clarence,Robinson,Texas,,15,3,18,No
804,Jack,Peters,Nevada,,15,3,2,Yes
805,Julia,Lee,Pennsylvania,Female,15,4,,Yes
806,Adam,Chapman,Georgia,Male,,4,18,Yes
807,Jean,Davis,California,Female,16,4,3,Yes
808,Ernest,Davis,California,Male,17,,,Yes
809,Anthony,Ross,Washington,Male,19,4,4,Yes
810,Jeffrey,Berry,Pennsylvania,,15,2,26,No
811,Jacqueline,Cunningham,Hawaii,Female,,4,31,Yes
812,Angela,Banks,Florida,Female,19,2,,Yes
813,Amy,Ortiz,Oklahoma,Female,18,,4,Yes
814,Angela,Morrison,,Female,16,4,7,Yes
815,Gary,Matthews,California,Male,18,3,4,No
816,Heather,Lynch,Texas,Female,18,2,,Yes
817,Phyllis,Edwards,Florida,,,3,17,No
818,Sarah,Lawson,,,16,2,20,No
819,Andrew,Reyes,Texas,Male,15,2,15,No
820,Deborah,Lawson,Florida,,16,2,14,No
821,Paul,Stevens,,Male,18,3,14,No
822,Nancy,Oliver,Indiana,,15,2,19,No
823,Dennis,Carpenter,Indiana,Male,17,,7,Yes
824,Patrick,Ross,Texas,,17,4,26,Yes
825,Gary,Holmes,,Male,17,,,Yes
826,Kimberly,Torres,,,,3,32,No
827,Amy,Miller,,Female,18,,31,Yes
828,Ruth,Parker,South Carolina,Female,,4,4,Yes
829,Juan,Collins,Vermont,Male,17,4,14,Yes
830,Mary,Mason,Texas,Female,19,4,19,Yes
831,Kathryn,Alexander,New Jersey,Female,19,2,17,No
832,Kenneth,Moreno,,Male,19,2,14,No
833,Mildred,Welch,Texas,Female,15,3,15,No
834,Louis,Riley,Utah,Male,,4,,Yes
835,Roy,Butler,Texas,Male,19,3,18,No
836,Diane,Pierce,Indiana,Female,17,3,2,Yes
837,Randy,Mendoza,Ohio,Male,,,11,Yes
838,Irene,Cole,Texas,Female,16,4,23,Yes
839,James,Myers,Illinois,Male,18,4,9,Yes
840,Barbara,Turner,Pennsylvania,Female,17,2,32,No
841,Andrea,Duncan,Ohio,Female,18,4,24,Yes
842,Tammy,Stone,,,15,3,4,No
843,Cheryl,Harvey,,,,4,4,Yes
844,Gloria,Ramos,Kansas,,16,4,23,Yes
845,Julia,White,District of Columbia,Female,15,3,11,No
846,Alan,Crawford,California,Male,17,4,,Yes
847,Rachel,Lee,,Female,19,3,27,No
848,Laura,Mitchell,Colorado,Female,18,4,,Yes
849,Christina,Moore,New York,Female,19,3,22,No
850,Marie,Wood,Michigan,,,,27,Yes
851,Jean,Gonzalez,Missouri,Female,17,3,23,No
852,Gloria,Edwards,California,,18,4,,Yes
853,Kathy,Bailey,New York,Female,19,3,,Yes
854,Heather,Owens,,Female,15,,,Yes
855,Ruth,Carroll,Kentucky,Female,,,14,Yes
856,Jimmy,Bryant,Pennsylvania,Male,16,,4,Yes
857,Thomas,Tucker,California,Male,,3,8,No
858,Janet,Murphy,Michigan,Female,17,,6,Yes
859,Angela,Kelly,Connecticut,Female,15,4,32,Yes
860,Douglas,Burke,Illinois,,16,3,8,No
861,Justin,Bennett,,Male,15,2,3,Yes
862,Kevin,Robinson,Montana,Male,,3,25,No
863,Pamela,Hudson,,Female,16,,,Yes
864,Barbara,Mccoy,New York,,19,3,15,No
865,Sara,Garcia,Louisiana,Female,19,3,21,No
866,John,Fields,,Male,,4,14,Yes
867,Joe,Franklin,Ohio,Male,15,2,15,No
868,Ruby,Long,Minnesota,,,4,4,Yes
869,Phyllis,Oliver,Michigan,Female,17,4,27,Yes
870,Patrick,Barnes,Texas,Male,17,3,7,No
871,Joshua,Butler,,Male,18,4,,Yes
872,Janet,Cox,Texas,Female,,3,9,No
873,William,Harris,Alabama,Male,18,3,6,No
874,Diana,Howard,Minnesota,Female,15,,,Yes
875,Joe,Hicks,Florida,Male,15,3,,Yes
876,Amy,Walker,Alabama,Female,,,29,Yes
877,Matthew,Brown,Iowa,Male,19,3,6,No
878,Adam,Larson,District of Columbia,,,3,27,No
879,Victor,Kelley,California,,17,3,,Yes
880,Amanda,Reyes,District of Columbia,Female,15,,9,Yes
881,Aaron,Shaw,Texas,,15,2,5,No
882,Kevin,Campbell,California,Male,17,4,28,Yes
883,Evelyn,Watson,South Carolina,,15,2,14,No
884,Amy,Nguyen,New York,Female,18,2,30,No
885,Betty,Stone,Colorado,,17,2,31,No
886,Susan,Spencer,Missouri,,19,4,17,Yes
887,Patricia,Hernandez,Arizona,,19,4,14,Yes
888,Jesse,Hunter,Pennsylvania,,18,2,16,No
889,Mark,Parker,New York,Male,,4,,Yes
890,Deborah,Franklin,,Female,16,4,31,Yes
891,Sharon,Dixon,District of Columbia,Female,19,3,12,No
892,Ruth,Larson,Washington,Female,18,4,,Yes
893,Gerald,Mendoza,Florida,Male,17,3,7,No
894,Gregory,Green,Arizona,Male,15,4,6,Yes
895,Eric,Greene,California,Male,15,3,33,No
896,Amanda,Anderson,Nevada,Female,19,4,4,Yes
897,Kathleen,Lane,Indiana,Female,19,4,24,Yes
898,Andrew,Murphy,Minnesota,Male,16,2,,Yes
899,Andrea,Nichols,Maryland,Female,17,2,7,No
900,Louis,Sims,Virginia,Male,,,10,Yes
901,Jennifer,Nguyen,Kansas,,,3,6,No
902,Amy,Bennett,Nebraska,Female,15,,6,Yes
903,Christina,Hall,Florida,Female,18,2,14,No
904,Emily,Griffin,Louisiana,Female,15,3,,Yes
905,Dennis,Stephens,Pennsylvania,Male,17,3,25,No
906,Harry,Wells,Pennsylvania,Male,17,,20,Yes
907,Michael,Grant,,Male,17,2,27,No
908,Benjamin,Nguyen,Ohio,Male,19,4,,Yes
909,Ruth,Ortiz,Pennsylvania,Female,17,2,8,No
910,Diane,Austin,,,,2,22,No
911,Sarah,Perry,California,Female,,,7,Yes
912,Patrick,Richards,Minnesota,Male,19,3,,Yes
913,Melissa,Daniels,Indiana,Female,,2,24,No
914,Kimberly,Gardner,Virginia,Female,18,4,,Yes
915,Larry,Smith,Maryland,,16,3,15,No
916,Debra,Warren,Texas,Female,15,4,31,Yes
917,Beverly,Tucker,Oklahoma,,19,,19,Yes
918,Gary,Fernandez,Maryland,Male,19,,5,Yes
919,Ralph,Perry,Texas,,15,4,9,Yes
920,Patricia,Ellis,Florida,,,4,31,Yes
921,Kathy,Fernandez,New York,Female,,2,21,No
922,Rebecca,Duncan,California,,,3,31,No
923,Angela,Arnold,New Jersey,,15,4,11,Yes
924,Tina,Lopez,Indiana,Female,18,3,2,Yes
925,Diane,Griffin,New York,Female,16,2,16,No
926,Raymond,Hunt,,Male,15,2,,Yes
927,Shirley,Kelly,California,Female,15,3,27,No
928,Ashley,Ramirez,Texas,Female,15,3,29,No
929,Alan,Davis,Wisconsin,Male,17,,,Yes
930,Cheryl,Spencer,Michigan,Female,,2,,Yes
931,Sandra,Hunter,New Mexico,Female,,,10,Yes
932,Barbara,Parker,,Female,,2,13,No
933,Kimberly,Lynch,Texas,Female,18,3,7,No
934,Edward,Meyer,Virginia,Male,19,2,28,No
935,Anna,Stone,Texas,,18,4,17,Yes
936,Roger,Thompson,Virginia,,18,2,,Yes
937,Gary,Marshall,Minnesota,Male,18,4,8,Yes
938,Anthony,Ray,New York,Male,18,4,4,Yes
939,Ruby,Castillo,California,Female,19,3,11,No
940,Kenneth,Evans,Indiana,Male,15,4,24,Yes
941,Nancy,Peters,,Female,,,6,Yes
942,Andrea,Sanchez,Florida,Female,,,,Yes
943,Joan,Fox,Virginia,Female,15,2,,Yes
944,Denise,Holmes,District of Columbia,Female,17,2,7,No
945,Todd,Pierce,Missouri,,19,,4,Yes
946,Dennis,Lopez,Georgia,Male,,,,Yes
947,Randy,Myers,Delaware,Male,,,17,Yes
948,Maria,Marshall,Georgia,,18,4,22,Yes
949,Susan,Gonzales,California,Female,19,3,,Yes
950,Diane,Fox,Nebraska,Female,,2,28,No
951,Billy,Gonzales,South Dakota,Male,16,3,27,No
952,Jean,Carr,North Dakota,Female,16,2,31,No
953,Jerry,Hanson,Texas,Male,18,2,,Yes
954,Tammy,Parker,Connecticut,Female,19,,33,Yes
955,Kathleen,Grant,Louisiana,Female,15,2,2,Yes
956,Anthony,Sanders,,Male,17,4,10,Yes
957,Justin,Lawrence,Florida,,,3,13,No
958,Jacqueline,Day,Illinois,Female,18,,,Yes
959,Wayne,Sanchez,Texas,Male,18,4,12,Yes
960,Jerry,Washington,Nevada,Male,,3,30,No
961,Louise,Brooks,Utah,Female,,3,26,No
962,Dennis,Schmidt,New York,Male,16,2,2,Yes
963,Teresa,Olson,Florida,Female,15,4,7,Yes
964,Arthur,Hill,,Male,17,3,8,No
965,Craig,Rose,,Male,,,10,Yes
966,Rachel,Hawkins,Minnesota,Female,,3,20,No
967,Edward,Warren,Florida,Male,19,3,15,No
968,Teresa,Fisher,North Carolina,,,4,,Yes
969,Jean,Gonzales,New York,,,3,4,No
970,Susan,Nguyen,,Female,18,,16,Yes
971,Michelle,Greene,Oklahoma,Female,,4,8,Yes
972,Christopher,Stanley,Colorado,Male,16,2,29,No
973,Jeffrey,Mason,Georgia,Male,,4,,Yes
974,Phyllis,Smith,,,,4,22,Yes
975,Jessica,Montgomery,Michigan,Female,18,3,18,No
976,Jessica,Wheeler,California,Female,,2,,Yes
977,Carl,Bryant,Ohio,,17,2,29,No
978,Wanda,Rivera,New York,Female,18,4,16,Yes
979,Betty,Reid,Delaware,,15,3,3,Yes
980,Ruby,Diaz,Ohio,Female,15,4,30,Yes
981,Thomas,Myers,Texas,Male,15,3,2,Yes
982,Jane,Sims,Texas,Female,19,2,25,No
983,Laura,Nelson,,Female,17,2,,Yes
984,Jessica,Gonzales,Nevada,Female,17,3,15,No
985,Ralph,Freeman,California,Male,18,3,31,No
986,Jose,Jordan,Connecticut,Male,,4,20,Yes
987,Andrea,Banks,California,Female,19,2,11,No
988,Gloria,Ross,Missouri,,,4,,Yes
989,Harry,Carr,Nebraska,,16,,34,Yes
990,Anthony,Sanders,District of Columbia,,15,4,2,Yes
991,Ruby,King,California,Female,18,4,14,Yes
992,Deborah,King,New York,Female,19,4,31,Yes
993,Arthur,Green,Oklahoma,Male,,4,20,Yes
994,Earl,Weaver,Ohio,Male,19,2,26,No
995,Ralph,Lopez,District of Columbia,,16,4,,Yes
996,Frank,Stone,Louisiana,Male,16,4,25,Yes
997,Shirley,Garrett,Minnesota,Female,15,4,,Yes
998,Jane,Rodriguez,Ohio,,17,,20,Yes
999,Robin,George,California,Female,19,,,Yes
1000,Martin,Fowler,Texas,Male,18,3,19,No
